,PostId,PayRangeMin,PayRangeMax,distance_km,descriptions_similarity_to_resume,descriptions_similarity_to_resume_norm,user_preference_score,job_title_similarity_to_last_job,job_industry_similarity_to_last_job,job_teamwork_score,job_growth_score,job_respect_score,work_from_home_score,hybrid_score,on_site_score,competitive_salary_score,benefit_score,PayRangeMin_norm,PayRangeMax_norm,pay_average_norm,distance_norm,CompanyDetail.GroupSize,CompanyDetail.Industry,WorkType,CompanyDetail.HeadQuarters,headquarter_in_australia
0,57192643,98800.0,98800.0,20.054713268986767,0.19151875,0.1758728,0.0,0.1179589,0.26356554,0.120133415,0.1978417,0.12899348,0,0,1,0.15221286,0.20621514,0.6497774982042597,0.5988702556810391,0.6243238769426493,0.0026343820716162912,SIZE_A,Entertainment Providers,Part Time,"Parramatta, New South Wales",1
1,69699264,79032.0,109194.0,15.05206376538541,0.15953296,0.08591437,0.0,0.21066928,0.11441781,0.18811318,0.09595601,0.19770268,0,0,1,0.09528074,0.2519483,0.48173870171158495,0.6803027276039157,0.5810207146577504,0.001213641144177741,SIZE_A,Government & Defence,Full Time,"Parramatta, NSW",1
2,71358671,80000.0,100000.0,1162.0144115137464,0.21412483,0.23945123,0.0,0.4487906,0.2217968,0.13512677,0.1524145,0.056049775,0,0,1,0.09970418,0.23363948,0.48996723039455287,0.6082717340635149,0.5491194822290338,0.3269483040471088,SIZE_A,Human Resources Services,Full Time,,0
3,71486532,75000.0,75000.0,22.05207867337436,0.31899005,0.5343793,0.0,0.4624824,0.22759214,0.2101557,0.07841458,0.024337746,0,0,1,0.15529054,0.1904707,0.4474644995940989,0.41240760109527225,0.42993605034468557,0.003201629242344611,SIZE_D,Construction,Full Time,"Prestons, New South Wales",1
4,72172733,68132.47999999998,68132.47999999998,714.6644041843072,0.21117759,0.23116225,0.0,0.33539587,0.114329755,0.13965797,0.10984943,0.057804525,1,1,0,0.21275389,0.24015301,0.38908682882875206,0.35860356707758945,0.3738451979531707,0.19990193314998111,SIZE_B,Software Development,Casual/Vacation,"Collingwood, VIC",1
5,72172793,68132.47999999998,68132.47999999998,746.7563002561252,0.22379804,0.26665664,0.0,0.33539587,0.114329755,0.14426506,0.10714864,0.066317186,1,1,0,0.19395885,0.24785998,0.38908682882875206,0.35860356707758945,0.3738451979531707,0.2090159576594962,SIZE_B,Software Development,Casual/Vacation,"Collingwood, VIC",1
6,72172945,68132.47999999998,68132.47999999998,20.054713268986767,0.22085541,0.25838065,0.0,0.33539587,0.114329755,0.12239976,0.12373188,0.055278726,1,1,0,0.22134648,0.24805345,0.38908682882875206,0.35860356707758945,0.3738451979531707,0.0026343820716162912,SIZE_B,Software Development,Casual/Vacation,"Collingwood, VIC",1
7,73002207,75000.0,75000.0,1162.0144115137464,0.20630923,0.21747023,0.0,0.42390096,0.14622515,0.12214229,0.2650058,0.14456624,0,0,1,0.098387495,0.17481166,0.4474644995940989,0.41240760109527225,0.42993605034468557,0.3269483040471088,SIZE_C,Financial Services,Full Time,"Sydney, New South Wales",1
8,73066320,25000.0,37500.0,123.48307512834883,0.19768158,0.19320542,0.0,0.19025064,0.07411827,0.22491303,0.009426845,0.11915572,0,0,1,0.013781635,0.25930738,0.02243719158955963,0.11861140164290834,0.07052429661623398,0.03200779842743652,SIZE_A,,Part Time,,0
9,73238403,60000.0,79999.0,1162.0144115137464,0.21795121,0.25021273,0.0,0.23846743,0.2217968,0.12479916,0.08841136,0.082509756,0,0,1,0.12649876,0.20736063,0.31995630719273715,0.45157259312360204,0.3857644501581696,0.3269483040471088,SIZE_A,Human Resources Services,Full Time,,0
10,73382292,120000.0,144999.0,1162.0144115137464,0.2550721,0.3546133,0.0,0.40616834,0.2217968,0.12854522,0.16545779,0.06376108,0,0,1,0.11669591,0.16349034,0.8299890767981842,0.9608193388410328,0.8954042078196085,0.3269483040471088,SIZE_A,Human Resources Services,Full Time,,0
11,73624091,75000.0,75000.0,1428.2021304346679,0.2720757,0.40243512,0.0,0.3825566,0.34898132,0.18973213,0.12436792,0.052326776,0,0,1,0.065237716,0.18887766,0.4474644995940989,0.41240760109527225,0.42993605034468557,0.4025450026325706,SIZE_A,Motor Vehicle Manufacturing,Full Time,Mackay,1
12,73866910,75000.0,75000.0,1428.2021304346679,0.2468325,0.3314399,0.0,0.34184772,0.43320623,0.16111013,0.11282193,0.07032053,0,0,1,0.13712373,0.18012863,0.4474644995940989,0.41240760109527225,0.42993605034468557,0.4025450026325706,SIZE_A,Motor Vehicle Manufacturing,Full Time,Mackay,1
13,74517855,75000.0,75000.0,1162.0144115137464,0.2240738,0.26743215,0.0,0.2983579,0.20354599,0.111070044,0.12046603,0.108042695,0,0,1,0.15872498,0.26534832,0.4474644995940989,0.41240760109527225,0.42993605034468557,0.3269483040471088,SIZE_B,Staffing and Recruiting,Contract/Temp,"Adelaide, South Australia",1
14,74550183,80000.0,99999.0,1162.0144115137464,0.20128626,0.20334339,0.0,0.36707473,0.22928223,0.14075905,0.060219646,0.10143347,0,0,1,0.10338615,0.15667203,0.48996723039455287,0.608263899498196,0.5491155649463745,0.3269483040471088,SIZE_A,Human Resources Services,Full Time,,0
15,74597923,60000.0,80000.0,739.7774444111599,0.37308824,0.68652767,0.0,0.5958302,0.30193835,0.27547047,0.093622506,0.14838974,0,0,1,0.16877244,0.18828592,0.31995630719273715,0.45158042768892076,0.385768367440829,0.2070339786864544,SIZE_C,"Appliances, Electrical, and Electronics Manufacturing",Full Time,"Enoggera, Queensland",1
16,74615270,59280.0,69160.0,746.7563002561252,0.26459095,0.3813846,0.0,0.20172557,0.26961607,0.2117379,0.16562168,0.10505693,0,0,1,0.121038824,0.21629298,0.3138359139574718,0.36665373963389075,0.34024482679568124,0.2090159576594962,SIZE_C,"Technology, Information and Media",Casual/Vacation,"Melbourne, Victoria",1
17,74777089,75000.0,75000.0,699.7326526590232,0.21474874,0.24120593,0.0,0.31213707,0.27210468,0.25241667,0.19413559,0.16484728,0,0,1,0.16304797,0.22685182,0.4474644995940989,0.41240760109527225,0.42993605034468557,0.19566135013591185,SIZE_A,Wholesale,Full Time,"Künzelsau, BW",1
18,74913754,75000.0,75000.0,1027.7184097371603,0.22853625,0.27998257,0.0,0.39357847,0.10562796,0.13123569,0.009317126,0.17587164,0,0,1,0.030458722,0.25767756,0.4474644995940989,0.41240760109527225,0.42993605034468557,0.28880854910765097,SIZE_A,Government & Defence,Part Time,"Adelaide, South Australia",1
19,74928503,75000.0,75000.0,20.054713268986767,0.25124094,0.3438384,0.0,0.17055945,0.17430139,0.096591145,0.22449434,0.04914491,0,1,0,0.068054974,0.12528215,0.4474644995940989,0.41240760109527225,0.42993605034468557,0.0026343820716162912,SIZE_C,Financial Services,Full Time,"Sydney, New South Wales",1
20,74955106,95000.0,95000.0,20.054713268986767,0.28841186,0.4483797,0.0,0.2942369,0.137609,0.2511504,0.071517944,0.107088834,0,0,1,0.12881362,0.22052324,0.6174754227959146,0.5690989074698664,0.5932871651328905,0.0026343820716162912,SIZE_C,Staffing and Recruiting,Full Time,"Perth, Melbourne & Sydney",1
21,74957295,75000.0,78000.0,20.054713268986767,0.21798533,0.2503087,0.0,0.06731683,0.137609,0.18892574,0.0635838,0.011761927,0,0,1,0.09615271,0.18025988,0.4474644995940989,0.43591129705146137,0.4416878983227801,0.0026343820716162912,SIZE_C,Staffing and Recruiting,Full Time,"Perth, Melbourne & Sydney",1
22,74988257,86015.28,86015.28,714.6644041843072,0.17952073,0.14212894,0.0,0.19445367,0.08664033,0.072870106,0.02947167,0.1587724,0,0,1,0.2832895,0.33634138,0.5411003957004238,0.49870753175936916,0.5199039637298964,0.19990193314998111,SIZE_B,Services for the Elderly and Disabled,Casual/Vacation,"MELBOURNE, VIC",1
23,75080427,60000.0,80000.0,15.05206376538541,0.21370447,0.23826897,0.0,0.33637828,0.25519264,0.16452806,0.14424641,0.05632311,0,0,1,0.2674108,0.27738914,0.31995630719273715,0.45158042768892076,0.385768367440829,0.001213641144177741,SIZE_A,"Movies, Videos, and Sound",Full Time,"Paddington, New South Wales",1
